First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Truth,Details,Correctness,More Details
César Hernández,,0.007124126,0.022401394,0.45579287,0.51468163,Other,Other,,,
César Valdez,,0.001917576,0.583013654,0.393137726,0.021931062,Black,Other,,,
Dairon Blanco,,8.12E-06,0.998277426,0.001515005,0.00019944,Black,Black,,,
Dakota Hudson,,0.757024646,0.000559826,0.027156801,0.215258703,White,White,,,
Dallas Keuchel,,0.050860465,0.708436012,0.121389384,0.119314209,Black,White,,,
Dalton Guthrie,,0.465295672,0.000268937,0.01013751,0.524297953,Other,White,,,
Damon Jones,,0.802507043,0.000105131,0.175058647,0.02232907,White,White,,,
Dane Dunning,,0.002073908,0.000175444,0.995304177,0.002446464,Asian,Other,Biracial,,
Daniel Bard,,0.05919873,0.435721606,0.365449773,0.139629853,Black,White,,,
Daniel Castano,,0.724219322,0.000691451,0.025372812,0.249716327,White,Other,,,
Daniel Duarte,,0.010520068,0.401678681,0.229914553,0.357886661,Black,Other,,,
Daniel Hudson,,0.090248466,0.168256506,0.066212025,0.675283046,Other,White,,,
Daniel Lynch,,0.952684283,0.000213989,0.001654709,0.045446996,White,White,,,
Daniel Mengden,,0.247766703,0.012795881,0.032152651,0.707284778,Other,White,,,
Daniel Norris,,0.644568324,0.028119279,0.046540341,0.280772015,White,White,,,
Daniel Vogelbach,,0.235166952,0.002337378,0.681120893,0.081374858,Asian,White,,,
Danny Coulombe,,0.083147101,0.000218809,0.856469071,0.060165069,Asian,White,,,
Danny Jansen,,0.93016392,0.001323964,0.017562523,0.050949588,White,White,,,
Danny Mendick,,0.051602583,0.53316617,0.304455504,0.110775799,Black,White,,,
Danny Young,,0.022783093,0.040222388,0.357321512,0.579672973,Other,White,,,
Dansby Swanson,,0.01437619,0.634387016,0.229008758,0.122228011,Black,White,,,
Dany Jiménez,,0.00046412,0.992891431,0.003116481,0.003528016,Black,Black,,,
Darick Hall,,0.001040054,0.285068721,0.603390462,0.110500773,Asian,Other,,,
Darin Ruf,,0.990626931,0.000366112,0.003234236,0.00577283,White,White,,,
Darren O'Day,,0.271071792,0.041193902,0.209664539,0.478069738,Other,White,,,
Darwinzon Hernandez,,0.002948344,0.044680595,0.747143262,0.205227843,Asian,Other,,,
Daulton Jefferies,,0.258978337,0.000222737,0.73016674,0.010632202,Asian,White,,,
Daulton Varsho,,0.500465453,0.002063804,0.015953399,0.481517389,White,White,,,
Dauri Moreta,,2.46E-05,0.813595355,0.184762669,0.001617403,Black,Black,,,
David Bednar,,0.032349717,0.010004653,0.910508987,0.047136692,Asian,White,,,
David Bote,,0.85913676,0.006415137,0.008315354,0.126132686,White,White,,,
David Fletcher,,0.081241667,0.02125565,0.091110202,0.806392431,Other,White,,,
David Hensley,,0.169951394,0.006125171,0.076868198,0.747055277,Other,White,,,
David MacKinnon,,0.909691393,0.010244877,0.004459338,0.075604539,White,White,,,
David McKay,,0.208460584,0.016444825,0.285066655,0.490027852,Other,White,,,
David Peralta,,0.000126206,0.979817569,0.010725587,0.009330735,Black,Other,,,
David Peterson,,0.81807667,0.009715818,0.070995923,0.10121157,White,White,,,
David Phelps,,0.633303702,0.000136503,0.348856815,0.017703031,White,White,,,
David Price,,0.000187946,0.98589468,0.009240083,0.004677275,Black,White,,,
David Robertson,,0.991731226,1.59E-05,0.000618985,0.007633936,White,White,,,
David Villar,,0.026968563,0.452324241,0.237516114,0.283191068,Black,White,,,
Davis Martin,,0.926577806,0.000499293,0.010466058,0.062456872,White,White,,,
Daz Cameron,,0.000276965,0.973312557,0.022364317,0.00404622,Black,Black,,,
Dean Kremer,,0.089055523,0.000904717,0.889763051,0.020276757,Asian,White,,,
Dee Strange-Gordon,,8.09E-05,0.989048958,0.009411873,0.001458138,Black,Black,,,
Dennis Santana,,0.000370311,0.561898112,0.40603064,0.031700952,Black,Other,,,
Denyi Reyes,,0.001058121,0.302948505,0.65575015,0.040243248,Asian,Black,,,
Dereck Rodríguez,,0.031623535,0.027751507,0.503462493,0.437162416,Asian,Other,,,
Derek Hill,,0.000581257,0.952285945,0.038906919,0.008225824,Black,Black,,,
Derek Law,,0.505543828,0.019035686,0.361614274,0.113806216,White,White,,,
Dermis Garcia,,0.002659252,0.828720391,0.087228966,0.08139136,Black,Other,,,
Deven Marrero,,0.849957347,0.00170858,0.002046721,0.146287311,White,White,,,
Devin Smeltzer,,0.463001013,0.016168091,0.084280575,0.436550334,White,White,,,
Devin Williams,,0.019713102,0.036138095,0.234857682,0.70929113,Other,White,,,
Didi Gregorius,,1.96E-06,0.994567633,0.005240854,0.000189504,Black,Black,,,
Diego Castillo,,3.68E-06,0.996229589,0.003561465,0.000205128,Black,Other,,,
Dillon Peters,,0.165237546,0.013291789,0.719720334,0.101750266,Asian,White,,,
Dillon Tate,,4.97E-05,0.585183322,0.412696662,0.002070337,Black,Black,,,
Dillon Thomas,,0.003447954,0.923304498,0.007165795,0.066081807,Black,Black,,,
Dinelson Lamet,,0.000253496,0.956461489,0.038553626,0.004731389,Black,Other,,,
Dixon Machado,,0.000124647,0.2996898,0.687151978,0.013033534,Asian,Other,,,
DJ LeMahieu,,0.037719816,5.97E-05,0.958459412,0.003761104,Asian,White,,,
DJ Stewart,,0.012730504,0.901201963,0.07453604,0.011531453,Black,White,,,
DL Hall,,0.74580282,0.005619096,0.143694045,0.104883984,White,White,,,
Dom Nuñez,,0.137684479,0.002538752,0.360948313,0.498828471,Other,White,,,
Domingo Acevedo,,8.07E-05,0.978410602,0.010579391,0.01092925,Black,Other,,,
Domingo Germán,,7.76E-06,0.996338487,0.003496642,0.000157142,Black,Black,,,
Domingo Tapia,,1.41E-05,0.997151434,0.002591842,0.000242577,Black,Black,,,
Dominic Leone,,0.835887194,0.001466048,0.004863009,0.157783676,White,White,,,
Dominic Smith,,6.30E-05,0.973141611,0.02283838,0.003956969,Black,Black,,,
Donny Sands,,0.031525943,5.47E-05,0.95838072,0.010038502,Asian,Other,,,
Donovan Solano,,0.002463093,0.045483448,0.671066094,0.280987322,Asian,Other,,,
Donovan Walton,,0.271975636,0.015956778,0.239421893,0.472645596,Other,White,,,
Drew Carlton,,0.090034403,7.22E-05,0.002438946,0.907454459,Other,White,,,
Drew Ellis,,0.712754965,0.000863227,0.005153146,0.281228626,White,White,,,
Drew Hutchison,,0.164368898,0.00540029,0.19072157,0.639509216,Other,White,,,
Drew Jackson,,0.939839303,0.000150287,0.00091442,0.059095899,White,White,,,
Drew Rasmussen,,0.928400159,0.000796059,0.012873828,0.057929983,White,White,,,
Drew Smith,,0.998505712,8.12E-06,0.000243437,0.001242755,White,White,,,
Drew Smyly,,0.770248473,0.000943916,0.145708414,0.083099257,White,White,,,
Drew Steckenrider,,0.995592773,0.000112147,0.003290601,0.001004521,White,White,,,
Drew VerHagen,,0.080821887,0.099479362,0.155452527,0.664246202,Other,White,,,
Drew Waters,,0.238245249,0.016439466,0.733653257,0.011662013,Asian,White,,,
Drey Jameson,,0.9316504,0.000111537,0.003591758,0.064646363,White,White,,,
Duane Underwood Jr.,,0.000908088,0.013541119,0.970260547,0.015290201,Asian,Other,,,
Dusten Knight,,0.025772436,0.013581709,0.815895529,0.144750336,Asian,White,,,
Dustin Garneau,,0.800412297,0.005500859,0.007474879,0.186611988,White,White,,,
Dustin May,,0.062402554,0.040844411,0.864507977,0.032245111,Asian,White,,,
Dylan Bundy,,0.860981584,0.000354767,0.00107252,0.13759114,White,White,,,
Dylan Carlson,,0.005893334,0.923538387,0.031982172,0.038585965,Black,White,,,
Dylan Cease,,0.831378222,0.00078226,0.002126001,0.165713573,White,White,,,
Dylan Coleman,,0.166307703,0.026877625,0.08124512,0.725569576,Other,White,,,
Dylan Floro,,0.573509395,0.000220517,0.081485565,0.344784509,White,White,,,
Dylan Lee,,0.577460527,0.00564117,0.027796395,0.389101967,White,White,,,
Dylan Moore,,0.017641172,0.000140992,0.968974235,0.013243555,Asian,White,,,
Easton McGee,,0.087219022,0.225429192,0.144366952,0.542984851,Other,White,,,
Eddie Rosario,,8.35E-05,0.000930359,0.996422002,0.002564131,Asian,Other,,,
Eddy Alvarez,,0.001004504,0.935570776,0.038956297,0.024468379,Black,Other,,,
Edmundo Sosa,,0.000253225,0.543968379,0.447709867,0.008068481,Black,Other,,,
Eduard Bazardo,,5.07E-05,0.966604531,0.028838136,0.004506702,Black,Black,,,
Eduardo Escobar,,2.94E-05,0.878812671,0.117686304,0.003471662,Black,Black,,,
Eduardo Rodriguez,,0.001419048,0.248354644,0.68461582,0.065610446,Asian,Other,,,
Edward Cabrera,,0.00061239,0.807885051,0.141414462,0.050088109,Black,Black,,,
Edward Olivares,,0.000566135,0.947537482,0.038292697,0.013603738,Black,Black,,,
Edwin O Díaz,,0.000534661,0.045993492,0.907525237,0.045946658,Asian,Other,,,
Edwin Ríos,,0.005626695,0.207928151,0.493399341,0.293045836,Asian,Other,,,
Edwin Uceta,,5.82E-05,0.879386723,0.111511641,0.009043405,Black,Black,,,
Eguy Rosario,,3.40E-05,0.855134606,0.137835605,0.00699586,Black,Other,,,
Ehire Adrianza,,0.000190551,0.018553538,0.976874018,0.004381833,Asian,Other,,,
Elehuris Montero,,5.33E-06,0.994905114,0.00464969,0.000439989,Black,Other,,,
Eli Morgan,,0.296412975,0.000308921,0.007342345,0.695935696,Other,White,,,
Eli White,,0.070637204,0.604180992,0.048528588,0.276653253,Black,White,,,
Elias Díaz,,6.14E-05,0.013556782,0.977350742,0.009031105,Asian,Other,,,
Elier Hernandez,,8.07E-06,0.992965341,0.006727448,0.000299144,Black,Other,,,
Elieser Hernandez,,0.00013977,0.349980474,0.645933008,0.003946814,Asian,Other,,,
Eloy Jiménez,,0.000134172,0.967575729,0.027171047,0.005118909,Black,Other,,,
Elvin Rodriguez,,0.004499784,0.535245121,0.31860654,0.14164849,Black,Other,,,
Elvis Andrus,,1.03E-05,0.993438661,0.004724123,0.001826901,Black,Black,,,
Elvis Peguero,,9.35E-05,0.90298903,0.085768653,0.011148787,Black,Black,,,
Emilio Pagán,,0.691819966,0.000565306,0.293340203,0.014274437,White,White,,,
Emmanuel Clase,,0.000447727,0.129513577,0.859526481,0.010512237,Asian,Other,,,
Emmanuel Rivera,,0.41961202,0.006538405,0.007835856,0.566013768,Other,Other,,,
Ender Inciarte,,0.951672733,0.001173967,0.002704511,0.044448847,White,White,,,
Enoli Paredes,,7.34E-05,0.83160758,0.167232353,0.001086599,Black,Other,,,
Enrique Hernández,,0.225702554,0.001435699,0.51827038,0.254591401,Asian,Other,,,
Enyel De Los Santos,,0.000104784,0.986935437,0.010628346,0.00233138,Black,White,,,
Erasmo Ramírez,,0.003145754,0.000765584,0.987341687,0.008747032,Asian,Other,,,
Eric Haase,,0.038941387,0.394021004,0.260344474,0.30669323,Black,White,,,
Eric Hosmer,,0.031761076,0.274472773,0.416423241,0.277342897,Asian,White,,,
Eric Lauer,,0.215275884,0.023392646,0.49487798,0.266453467,Asian,White,,,
Eric Stout,,0.073750287,0.41115132,0.078890169,0.436208256,Other,White,,,
Erich Uelmen,,0.001878178,4.85E-05,0.997665958,0.000407321,Asian,White,,,
Erick Fedde,,0.866980791,0.000217253,0.002709096,0.130092852,White,White,,,
Erik González,,0.000354684,0.212911025,0.739507856,0.047226563,Asian,Other,,,
Erik Swanson,,0.94328171,8.73E-05,0.009088761,0.047542265,White,White,,,
Ernie Clement,,0.995920897,2.37E-05,0.000670569,0.00338481,White,Other,,,
Esteban Quiroz,,0.532865524,0.003287548,0.331488611,0.132358283,White,White,,,
Esteury Ruiz,,0.000961458,0.755908728,0.164897349,0.0782324,Black,Other,,,
Estevan Florial,,3.63E-06,0.998232841,0.001680729,8.27E-05,Black,Other,,,
Ethan Roberts,,0.778615415,0.00062306,0.20223484,0.018526644,White,White,,,
Ethan Small,,0.258006781,0.004310547,0.070234846,0.66744788,Other,White,,,
Eugenio Suárez,,0.002782733,0.001936716,0.926392393,0.068888072,Asian,Other,,,
Evan Lee,,0.814136982,0.000357019,0.005317506,0.180188458,White,White,,,
Evan Longoria,,0.159082294,0.091410108,0.413821225,0.335686367,Asian,White,,,
Evan Phillips,,0.78555584,0.002224352,0.015056652,0.197163198,White,White,,,
Ezequiel Duran,,0.000477853,0.292103797,0.688757755,0.018660663,Asian,Other,,,
Ezequiel Tovar,,0.006892771,0.003461074,0.957185426,0.032460728,Asian,Other,,,
Fernando Cruz,,0.005215177,0.271229595,0.59409082,0.129464423,Asian,Other,,,
Ford Proctor,,0.538642526,0.010120784,0.180377308,0.270859353,White,White,,,
Foster Griffin,,0.566791415,0.182570919,0.086168052,0.164469637,White,White,,,
Framber Valdez,,0.000181712,0.767449319,0.219050346,0.01331859,Black,Other,,,
Franchy Cordero,,2.02E-05,0.987487555,0.011358301,0.001133922,Black,Other,,,
Francisco Lindor,,0.000122426,0.934920073,0.058902606,0.006054769,Black,Black,,,
Francisco Mejía,,0.001507736,0.530214071,0.419316103,0.048962133,Black,Other,,,
Francisco Morales,,0.000320814,4.43E-05,0.998754781,0.000880135,Asian,Other,,,
Francisco Perez,,4.79E-05,0.994093359,0.005138327,0.000720517,Black,Black,,,
Francisco Álvarez,,0.011414169,0.000152363,0.98502182,0.00341162,Asian,Other,,,
Frank Schwindel,,0.821678102,0.000179675,0.008261692,0.169880543,White,White,,,
Frankie Montas,,7.26E-05,0.007710501,0.989766146,0.002450706,Asian,Other,,,
Franklin German,,0.04928368,0.027936226,0.658378638,0.26440136,Asian,White,,,
Franmil Reyes,,5.17E-05,0.998735726,0.000467659,0.000744939,Black,Black,,,
Freddie Freeman,,0.345749825,0.246037066,0.112015685,0.296197396,White,White,,,
Freddy Fermin,,0.005686955,0.00217526,0.987120783,0.005017042,Asian,White,,,
Freddy Peralta,,0.003798564,0.371606052,0.595885786,0.028709603,Asian,Other,,,
Freddy Tarnok,,0.00704453,0.000480053,0.95037188,0.042103495,Asian,Other,,,
Félix Bautista,,0.000244218,0.974424362,0.023693796,0.001637641,Black,Other,,,
Gabe Speier,,0.556014121,0.020412067,0.225231079,0.198342726,White,White,,,
Gabriel Arias,,0.001538818,0.012051974,0.905773237,0.080635949,Asian,Other,,,
Gabriel Moreno,,0.057454873,0.026198793,0.093159326,0.823187005,Other,Other,,,
Garrett Cleavinger,,0.008917054,0.000246131,0.989018153,0.001818617,Asian,White,,,
Garrett Cooper,,0.962231815,0.000264248,0.025340959,0.012162999,White,White,,,
Garrett Hampson,,0.641361654,0.000284056,0.09996675,0.258387476,White,White,,,
Garrett Hill,,0.934265792,0.000364736,0.037833937,0.027535586,White,White,,,
Garrett Mitchell,,0.899961233,0.002990606,0.001834996,0.095213134,White,White,,,
Garrett Richards,,0.98193568,7.77E-05,0.010574702,0.007411856,White,White,,,
Garrett Stubbs,,0.037485719,0.021779332,0.133660825,0.807074205,Other,White,,,
Garrett Whitlock,,0.113251656,0.004186061,0.856577942,0.025984301,Asian,White,,,
Gary Sanchez,,0.002859009,0.005588611,0.936640855,0.054911482,Asian,Other,,,
Gavin Hollowell,,0.981525183,0.000113983,0.00422787,0.014133045,White,White,,,
Gavin Lux,,0.136076197,0.009640163,0.021168683,0.833114982,Other,White,,,
Gavin Sheets,,0.870450854,0.000717912,0.109759411,0.019071809,White,White,,,
George Kirby,,0.831861079,4.66E-05,0.003916943,0.164175354,White,White,,,
George Springer,,0.075453877,0.762374461,0.016509757,0.145661926,Black,White,,,
Geraldo Perdomo,,1.87E-05,0.992736459,0.006826689,0.000418098,Black,Black,,,
Gerardo Reyes,,0.317825079,0.000670538,0.066888523,0.614615887,Other,Other,,,
Germán Márquez,,0.00135616,0.070155278,0.89895239,0.029536254,Asian,Other,,,
Gerrit Cole,,0.3846111,0.000667414,0.605556539,0.009164898,Asian,White,,,
Giancarlo Stanton,,0.001220145,0.135231495,0.740533547,0.123014923,Asian,Other,,,
Gilberto Celestino,,0.014969084,0.241158828,0.035796695,0.708075363,Other,Other,,,
Gio Urshela,,0.031701233,0.05536148,0.194106486,0.718830765,Other,Other,,,
Giovanny Gallegos,,0.040518641,0.003348602,0.086181992,0.869950758,Other,Other,,,
Glenn Otto,,0.971542299,0.000412358,0.018488768,0.009556546,White,White,,,
Gleyber Torres,,0.004960931,0.000353853,0.987560842,0.007124368,Asian,Other,,,
Gosuke Katoh,,0.000361127,0.000807086,0.997240115,0.001591602,Asian,Asian,,,
Graham Ashcraft,,0.081175834,0.130189627,0.372251101,0.416383445,Other,White,,,
Grayson Greiner,,0.743798912,0.007659371,0.099195809,0.149345987,White,White,,,
Greg Allen,,3.38E-06,0.999638319,0.000276986,8.13E-05,Black,Black,,,
Greg Holland,,0.82520479,0.002189859,0.019702791,0.152902571,White,White,,,
Greg Weissert,,0.000461155,0.000206162,0.997502088,0.001830634,Asian,White,,,
Gregory Santos,,4.96E-07,0.999655604,0.000316409,2.75E-05,Black,Black,,,
Gregory Soto,,2.61E-06,0.999067962,0.000846619,8.29E-05,Black,Black,,,
Griffin Jax,,0.727366745,0.000144108,0.002320901,0.270168254,White,White,,,
Guillermo Heredia,,1.17E-05,0.998484194,0.001274302,0.000229787,Black,Black,,,
Gunnar Henderson,,0.741060078,3.24E-05,0.248029084,0.010878499,White,White,,,
Génesis Cabrera,,0.000413707,0.917564034,0.066741863,0.015280473,Black,Other,,,
Ha-Seong Kim,,0.000309399,7.47E-06,0.999505903,0.000177156,Asian,Asian,,,
Hansel Robles,,0.000132089,0.92174381,0.066362695,0.011761353,Black,Other,,,
Hanser Alberto,,1.83E-05,0.999274671,0.000327267,0.00037971,Black,Black,,,
Harold Castro,,0.002777308,0.090246655,0.769809435,0.137166577,Asian,Other,,,
Harold Ramírez,,0.000672079,0.002684056,0.995012412,0.001631372,Asian,Other,,,
Harrison Bader,,0.900865376,8.48E-05,0.001762305,0.097287429,White,White,,,
Hayden Wesneski,,0.976777494,5.49E-05,0.001345358,0.021822322,White,White,,,
Heath Hembree,,0.099712722,0.037224643,0.773091357,0.089971267,Asian,White,,,
Heliot Ramos,,0.000106444,0.93038851,0.062557809,0.006947143,Black,Black,,,
Hirokazu Sawamura,,0.001267649,0.008650024,0.979728254,0.010354114,Asian,Asian,,,
Hoby Milner,,0.937159538,5.67E-05,0.008878293,0.053905514,White,White,,,
Hoy Park,,0.000536369,1.82E-05,0.99924777,0.000197626,Asian,Asian,,,
Huascar Brazoban,,4.80E-06,0.991310835,0.008560407,0.000123914,Black,Black,,,
Huascar Ynoa,,0.006655479,0.078279801,0.415963712,0.49910102,Other,Other,,,
Humberto Castellanos,,0.281972826,0.003233251,0.124637688,0.590156168,Other,Other,,,
Hunter Brown,,0.986505806,6.50E-05,0.000894237,0.012534961,White,White,,,
Hunter Dozier,,0.880912185,0.010090172,0.023702313,0.085295245,White,White,,,
Hunter Gaddis,,0.012253111,0.65106374,0.048134807,0.288548397,Black,White,,,
Hunter Greene,,0.000104223,0.734812975,0.261853245,0.003229617,Black,Black,,,
Hunter Harvey,,0.674683869,0.000465836,0.269837418,0.055012831,White,White,,,
Hunter Renfroe,,0.978555799,0.000236971,0.003191503,0.018015701,White,White,,,
Hunter Strickland,,0.324050486,0.012754126,0.19540952,0.46778588,Other,White,,,
Hyun Jin Ryu,,0.000105903,6.52E-06,0.999825268,6.23E-05,Asian,Asian,,,
Héctor Neris,,0.00034561,0.55404228,0.443839464,0.001772618,Black,Black,,,
Ian Anderson,,0.299121052,0.001828892,0.276108624,0.422941528,Other,White,,,
Ian Gibaut,,0.261495471,0.002704049,0.589858556,0.145941935,Asian,White,,,
Ian Hamilton,,0.13487187,0.001033399,0.84286404,0.02123066,Asian,White,,,
Ian Happ,,0.449427426,0.001935096,0.40290939,0.145728029,White,White,,,
Ian Kennedy,,0.111606218,0.265257865,0.04731101,0.575824913,Other,White,,,
Ildemaro Vargas,,0.017861482,0.064199507,0.889912098,0.028026885,Asian,Other,,,
Isaac Paredes,,0.002101308,0.102279656,0.16438055,0.731238533,Other,Other,,,
Isiah Kiner-Falefa,,0.000464977,8.13E-05,0.998844703,0.000608999,Asian,Other,,,
Israel Pineda,,0.000493083,0.882883966,0.09722035,0.019402552,Black,Other,,,
Iván Herrera,,0.004002588,0.791180372,0.121792591,0.083024415,Black,Other,,,
J.B. Wendelken,,0.179930642,0.003262755,0.754833085,0.061973486,Asian,White,,,
J.C. Mejía,,0.036090333,0.078528039,0.401604857,0.483776815,Other,Other,,,
J.D. Davis,,0.695816278,0.004191563,0.011558758,0.288433373,White,White,,,
J.D. Martinez,,0.002171856,0.939275563,0.029773196,0.028779463,Black,White,,,
J.J. Matijevic,,0.070873208,0.346066594,0.440829174,0.142231043,Asian,White,,,
J.P. Crawford,,9.91E-05,0.906972706,0.087592523,0.005335547,Black,White,,,
J.P. Feyereisen,,0.012773207,0.753278017,0.030300296,0.203648447,Black,White,,,
J.T. Realmuto,,0.373449117,0.025025526,0.439615282,0.161910098,Asian,White,,,
Jace Peterson,,0.126952946,0.003935117,0.141419441,0.727692522,Other,White,,,
Jack Flaherty,,0.882636368,5.45E-05,0.022864052,0.094444994,White,White,,,
Jack Larsen,,0.807253301,0.000351304,0.021618647,0.170776844,White,White,,,
Jack Mayfield,,0.126901418,0.119644329,0.1814369,0.572017288,Other,White,,,
Jack Suwinski,,0.462993294,0.000938679,0.496598197,0.039469871,Asian,White,,,
Jackie Bradley Jr.,,7.61E-06,0.999108732,0.000712179,0.000171376,Black,Black,,,
Jackson Kowar,,0.371614635,0.222285345,0.068129279,0.337970685,White,White,,,
Jackson Stephens,,0.037504341,0.003402532,0.814536391,0.144556738,Asian,Other,,,
Jackson Tetreault,,0.827146411,0.00126332,0.007297866,0.164292436,White,White,,,
Jacob Barnes,,0.385597825,0.004435521,0.012343184,0.597623438,Other,White,,,
Jacob deGrom,,0.721829057,0.018166199,0.072691997,0.187312804,White,White,,,
Jacob Lemoine,,0.486632794,0.013387616,0.02052847,0.479451083,White,White,,,
Jacob Stallings,,0.0190352,0.455011666,0.388400722,0.137552412,Black,White,,,
Jaime Barría,,0.001214853,0.009559321,0.929925191,0.059300708,Asian,Other,,,
Jake Bird,,0.538756073,0.001762658,0.009463912,0.450017363,White,White,,,
Jake Brentz,,0.682290792,0.001322535,0.007600608,0.308786079,White,White,,,
Jake Burger,,0.62640202,0.000272938,0.336636815,0.036688232,White,White,,,
Jake Cave,,0.947775006,0.00015557,0.012253748,0.039815729,White,White,,,
Jake Cousins,,0.369667917,0.000795902,0.585182237,0.044353971,Asian,White,,,
Jake Cronenworth,,0.125632539,0.001210439,0.860959347,0.012197616,Asian,White,,,
Jake Diekman,,0.767188847,0.001543542,0.005342806,0.225924836,White,White,,,
Jake Fishman,,0.247393712,0.013740995,0.058201123,0.680664182,Other,White,,,
Jake Fraley,,0.094735041,0.017622856,0.851632586,0.03600954,Asian,White,,,
Jake Hager,,0.804615259,0.004181476,0.008896912,0.182306439,White,White,,,
Jake Lamb,,0.987583101,0.000137271,0.003914816,0.008364766,White,White,,,
Jake Marisnick,,0.77210927,0.000232715,0.002208386,0.225449696,White,White,,,
Jake McCarthy,,0.98854965,7.23E-05,0.001758416,0.009619649,White,White,,,
Jake McGee,,0.993712723,2.22E-05,0.00034349,0.005921492,White,White,,,
Jake Meyers,,0.992272019,6.29E-06,0.000537059,0.007184703,White,White,,,
Jake Odorizzi,,0.949027538,0.000145437,0.00070596,0.050121135,White,White,,,
Jake Reed,,0.065458335,0.292787611,0.111983924,0.529770114,Other,White,,,
Jake Walsh,,0.198953956,0.001376066,0.701834716,0.097835275,Asian,White,,,
Jake Woodford,,0.849012375,0.000622737,0.120405571,0.029959262,White,White,,,
Jakob Junis,,0.01882525,0.817089796,0.074411829,0.089673107,Black,White,,,
Jalen Beeks,,0.486164093,0.051041417,0.005804622,0.456989825,White,White,,,
James Kaprielian,,0.442359298,0.004892541,0.523519431,0.029228668,Asian,White,,,
James Karinchak,,0.949159682,3.64E-05,0.005770296,0.045033525,White,White,,,
James McCann,,0.910378873,7.52E-05,0.001013823,0.088532142,White,White,,,
James Naile,,0.20558773,0.077185802,0.14471188,0.572514571,Other,White,,,
James Norwood,,0.002515499,6.02E-05,0.996685724,0.000738612,Asian,White,,,
James Outman,,0.575756252,0.003452102,0.041309044,0.379482649,White,White,,,
Jameson Taillon,,0.921232045,0.000543487,0.012450874,0.065773703,White,White,,,
Jandel Gustave,,0.011605563,0.104753077,0.762214614,0.12142675,Asian,Other,,,
Janson Junk,,0.943879068,4.16E-05,0.029361823,0.02671758,White,White,,,
Jared Koenig,,0.99194932,3.11E-05,0.000969787,0.007049822,White,White,,,
Jared Solomon,,0.04262159,0.72249198,0.15374017,0.081146284,Black,White,,,
Jared Walsh,,0.664530277,0.002117343,0.009385512,0.323966838,White,White,,,
Jared Young,,0.989792705,5.75E-05,0.001237114,0.008912666,White,White,,,
Jarlín García,,0.000920056,0.921690464,0.041197039,0.036192397,Black,Other,,,
Jarred Kelenic,,0.920607448,0.000863677,0.054517815,0.024011013,White,White,,,
Jarren Duran,,0.705330789,0.000648269,0.168410373,0.125610555,White,White,,,
Jason Adam,,0.81163305,0.001192927,0.005881742,0.18129234,White,White,,,
Jason Alexander,,0.151100516,0.002487665,0.060884349,0.785527468,Other,White,,,
Jason Castro,,0.568991244,0.000116718,0.002302826,0.428589221,White,White,,,
Jason Delay,,0.726657867,0.001166829,0.211226438,0.060948984,White,White,,,
Jason Foley,,0.067608543,0.029591773,0.169736538,0.733063191,Other,White,,,
Jason Heyward,,4.67E-06,0.999623656,0.000211789,0.000159865,Black,Black,,,
Jason Krizan,,0.968676865,4.43E-05,0.001223676,0.030055132,White,White,,,
Jason Vosler,,0.775574386,0.002489508,0.012282351,0.209653802,White,White,,,
Javier Assad,,0.263346761,0.000108129,0.719866336,0.016678747,Asian,White,,,
Javier Báez,,0.029794231,0.008959862,0.82330895,0.13793693,Asian,Other,,,
Javy Guerra,,0.017649757,0.095287077,0.219992971,0.667070206,Other,Other,,,
Jay Jackson,,0.000124126,0.913731813,0.083718116,0.002425946,Black,Black,,,
Jaylin Davis,,4.60E-05,0.988386035,0.009776594,0.001791299,Black,Black,,,
Jazz Chisholm Jr.,,4.20E-06,0.960218906,0.039512523,0.000264297,Black,Black,,,
Jean Segura,,6.90E-05,0.903165817,0.093071607,0.003693413,Black,Other,,,
Jed Lowrie,,0.313008547,0.028754262,0.260535158,0.397702053,Other,White,,,
Jeff Brigham,,0.988025725,8.10E-05,0.008698785,0.003194452,White,White,,,
Jeff Hoffman,,0.583453238,0.000811656,0.136921129,0.278814003,White,White,,,
Jeff McNeil,,0.976518452,0.000234686,0.010583853,0.012663047,White,White,,,
Jeffrey Springs,,0.200633228,0.02560446,0.603054669,0.170707621,Asian,White,,,
Jeimer Candelario,,0.000497403,0.757344127,0.217603875,0.024554568,Black,Black,,,
Jerad Eickhoff,,0.097645372,0.09261521,0.377172174,0.432567239,Other,White,,,
Jerar Encarnacion,,0.000106976,0.356397867,0.636269654,0.007225489,Asian,Other,,,
Jeremiah Estrada,,0.002224809,0.022329938,0.935924865,0.039520393,Asian,Other,,,
Jeremy Beasley,,0.046644412,0.675414741,0.106658561,0.171282362,Black,White,,,
Jeremy Peña,,0.043807555,0.353680372,0.101354162,0.501157915,Other,Other,,,
Jermaine Palacios,,0.044560004,0.052374739,0.051499245,0.851566019,Other,Other,,,
Jesse Chavez,,0.614986897,0.000275642,0.222731874,0.162005559,White,Other,,,
Jesse Winker,,0.330548078,0.054267749,0.448513689,0.166670484,Asian,White,,,
Jesus Cruz,,0.002009093,0.024641406,0.936642208,0.036707306,Asian,Other,,,
Jesus Tinoco,,0.034048419,0.094823733,0.697095843,0.174032036,Asian,Other,,,
Jesús Aguilar,,8.52E-05,0.823382378,0.166259373,0.010273083,Black,Other,,,
